Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,239007759,3066.3483411697093,2843984,36.48687246472696,463378,4871841,62.50324939782635,46500,0.5965714186893478,7638,
United States of America,Americas,44311292,13386.99,620511,187.46,116484,712874,215.37,9629,2.91,2117
India,South-East Asia,34020730,2465.26,126418,9.16,18987,451435,32.71,1579,0.11,246
Brazil,Americas,21590097,10157.21,91023,42.82,7359,601398,282.93,2569,1.21,185
The United Kingdom,Europe,8272887,12186.44,266223,392.16,41446,138080,203.4,785,1.16,136
Russian Federation,Europe,7892980,5408.58,202870,139.01,31299,220315,150.97,6766,4.64,986
Turkey,Europe,7540223,8940.37,212906,252.44,31248,66841,79.25,1468,1.74,236
France,Europe,6850008,10532.1,28593,43.96,5324,114834,176.56,175,0.27,21
Iran (Islamic Republic of),Eastern Mediterranean,5742083,6836.39,79625,94.8,12298,123275,146.77,1496,1.78,194
Argentina,Americas,5267339,11654.49,5404,11.96,1064,115547,255.66,224,0.5,56
Spain,Europe,4980206,10521.72,8529,18.02,451,86869,183.53,80,0.17,2
Colombia,Americas,4974400,9776.17,9946,19.55,1075,126692,248.99,237,0.47,37
Italy,Europe,4707087,7892.3,17746,29.75,2769,131421,220.35,264,0.44,37
Germany,Europe,4342640,5221.61,59262,71.26,12382,94461,113.58,434,0.52,72
Indonesia,South-East Asia,4232099,1547.25,7612,2.78,1053,142848,52.23,354,0.13,37
Mexico,Americas,3732429,2894.86,40505,31.42,7187,282773,219.32,2877,2.23,546
Poland,Europe,2931064,7721.83,14095,37.13,2999,76018,200.27,215,0.57,60
South Africa,Africa,2913880,4913.07,5112,8.62,942,88466,149.16,485,0.82,37
Philippines,Western Pacific,2690455,2455.22,67538,61.63,7181,40069,36.57,1241,1.13,173
Ukraine,Europe,2597275,5938.83,99632,227.81,18881,59935,137.05,2095,4.79,412
Malaysia,Western Pacific,2361529,7296.33,57692,178.25,7950,27593,85.25,612,1.89,68
Peru,Americas,2185355,6627.94,5206,15.79,679,199727,605.75,207,0.63,24
Netherlands,Europe,2033005,11678.85,19644,112.85,3746,18227,104.71,33,0.19,12
Iraq,Eastern Mediterranean,2028115,5042.24,11492,28.57,1766,22655,56.32,215,0.53,35
Thailand,South-East Asia,1751704,2509.61,73407,105.17,11276,18029,25.83,611,0.88,112
Japan,Western Pacific,1712649,1354.12,4897,3.87,714,18020,14.25,201,0.16,34
Czechia,Europe,1704436,15938.34,7356,68.79,1497,30524,285.43,28,0.26,3
Canada,Americas,1667575,4418.34,24155,64,12198,28289,74.95,239,0.63,103
Chile,Americas,1664725,8708.45,6281,32.86,733,37578,196.58,66,0.35,4
Bangladesh,South-East Asia,1564485,949.96,3667,2.23,466,27737,16.84,90,0.05,7
Romania,Europe,1414647,7318.84,96280,498.12,16383,40765,210.9,2223,11.5,304
Israel,Europe,1311838,15156.05,12511,144.54,1732,7959,91.95,72,0.83,2
Belgium,Europe,1272669,11045.13,12778,110.9,2,25726,223.27,61,0.53,1
Pakistan,Eastern Mediterranean,1260669,570.72,6801,3.08,1021,28173,12.75,187,0.08,21
Sweden,Europe,1160465,11236.55,4240,41.06,904,14922,144.49,6,0.06,0
Portugal,Europe,1077186,10462.27,4649,45.15,828,18065,175.46,57,0.55,9
Serbia,Europe,1024497,14790.54,43168,623.21,6699,8892,128.37,361,5.21,51
Kazakhstan,Europe,988365,5263.78,13421,71.48,2084,16583,88.32,280,1.49,39
Morocco,Eastern Mediterranean,940503,2548.06,3540,9.59,581,14500,39.28,110,0.3,15
Cuba,Americas,926320,8178.26,22212,196.1,2354,7956,70.24,253,2.23,28
Viet Nam,Western Pacific,849691,872.92,27004,27.74,3461,20869,21.44,771,0.79,106
Switzerland,Europe,849078,9810.69,4766,55.07,0,10715,123.81,27,0.31,0
Jordan,Eastern Mediterranean,837255,8205.86,7367,72.2,1286,10841,106.25,67,0.66,14
Hungary,Europe,831866,8514.91,5230,53.53,1141,30341,310.57,82,0.84,11
Nepal,South-East Asia,804276,2760.34,3994,13.71,398,11269,38.68,69,0.24,8
Austria,Europe,762931,8571.23,12807,143.88,2719,10886,122.3,67,0.75,11
United Arab Emirates,Eastern Mediterranean,738152,7463.32,923,9.33,126,2116,21.39,9,0.09,1
Tunisia,Eastern Mediterranean,710322,6010.19,1321,11.18,226,25053,211.98,82,0.69,7
Greece,Europe,684706,6388.04,15895,148.29,2312,15241,142.19,229,2.14,31
Georgia,Europe,649407,16279.23,23349,585.31,4212,9370,234.89,208,5.21,38
Lebanon,Eastern Mediterranean,631642,9254.22,3920,57.43,692,8400,123.07,30,0.44,6
Guatemala,Americas,583201,3255.27,11098,61.95,1703,14177,79.13,326,1.82,59
Belarus,Europe,563813,5966.7,13996,148.12,2060,4336,45.89,108,1.14,17
Costa Rica,Americas,547914,10755.82,8492,166.7,1319,6718,131.88,196,3.85,20
Saudi Arabia,Eastern Mediterranean,547761,1573.4,359,1.03,57,8753,25.14,21,0.06,2
Bulgaria,Europe,531129,7640.51,16921,243.42,3327,22004,316.54,593,8.53,98
Sri Lanka,South-East Asia,529081,2470.81,5531,25.83,0,13408,62.62,179,0.84,0
Ecuador,Americas,512071,2902.39,754,4.27,27,32848,186.18,29,0.16,12
Bolivia (Plurinational State of),Americas,504601,4322.8,2554,21.88,480,18806,161.11,36,0.31,3
Azerbaijan,Europe,495332,4885.33,7119,70.21,1265,6709,66.17,98,0.97,17
Myanmar,South-East Asia,484317,890.13,9898,18.19,1514,18255,33.55,221,0.41,33
Panama,Americas,469440,10879.85,1326,30.73,250,7275,168.61,25,0.58,4
Paraguay,Americas,460244,6452.74,160,2.24,26,16207,227.23,3,0.04,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,446294,8748.44,5358,105.03,756,4547,89.13,91,1.78,15
Slovakia,Europe,431757,7910.72,10833,198.48,1871,12791,234.36,86,1.58,19
Croatia,Europe,422908,10421.16,9243,227.76,1851,8847,218,117,2.88,18
Kuwait,Eastern Mediterranean,412196,9652.01,261,6.11,38,2455,57.49,3,0.07,0
Ireland,Europe,408021,8218.87,11396,229.55,2051,5306,106.88,26,0.52,26
Uruguay,Americas,390234,11233.86,871,25.07,119,6064,174.57,5,0.14,0
Venezuela (Bolivarian Republic of),Americas,385952,1357.27,9641,33.9,1284,4652,16.36,113,0.4,18
Honduras,Americas,370968,3745.41,2314,23.36,706,10045,101.42,132,1.33,35
Dominican Republic,Americas,367379,3386.63,4530,41.76,668,4077,37.58,21,0.19,5
Denmark,Europe,365840,6282.93,4379,75.2,789,2674,45.92,9,0.15,0
Lithuania,Europe,360763,12911.65,15668,560.76,2962,5349,191.44,191,6.84,41
Ethiopia,Africa,356772,310.33,5434,4.73,929,6103,5.31,260,0.23,37
Libya,Eastern Mediterranean,348088,5065.83,4156,60.48,724,4832,70.32,112,1.63,24
Republic of Korea,Western Pacific,337679,658.64,11879,23.17,1940,2618,5.11,74,0.14,13
Mongolia,Western Pacific,328506,10020.65,9064,276.49,1920,1424,43.44,106,3.23,15
Egypt,Eastern Mediterranean,314977,307.79,5842,5.71,861,17806,17.4,261,0.26,41
Republic of Moldova,Europe,310776,7703.99,9345,231.66,2052,7105,176.13,178,4.41,29
Slovenia,Europe,304963,14550.73,5713,272.58,1081,4963,236.8,9,0.43,0
Oman,Eastern Mediterranean,304013,5953.3,118,2.31,14,4103,80.35,2,0.04,0
Armenia,Europe,276666,9336.62,7994,269.77,1589,5675,191.51,209,7.05,29
Bahrain,Eastern Mediterranean,275862,16212.16,468,27.5,59,1390,81.69,0,0,0
Kenya,Africa,251483,467.69,973,1.81,170,5198,9.67,23,0.04,3
Bosnia and Herzegovina,Europe,242469,7390.51,4011,122.26,523,11046,336.68,244,7.44,37
Qatar,Eastern Mediterranean,237662,8249.14,515,17.88,83,607,21.07,1,0.03,0
Zambia,Africa,209411,1139.1,163,0.89,15,3657,19.89,5,0.03,3
Nigeria,Africa,208404,101.1,1843,0.89,425,2761,1.34,30,0.01,5
Algeria,Africa,204900,467.26,729,1.66,110,5862,13.37,24,0.05,3
North Macedonia,Europe,195542,9385.81,2084,100.03,410,6875,329.99,104,4.99,12
Norway,Europe,194627,3625.97,2704,50.38,227,884,16.47,7,0.13,1
Puerto Rico,Americas,182861,6391.83,927,32.4,176,3199,111.82,24,0.84,6
Botswana,Africa,181251,7707.47,1054,44.82,0,2381,101.25,7,0.3,0
Uzbekistan,Europe,179711,536.94,2747,8.21,340,1280,3.82,20,0.06,4
Kyrgyzstan,Europe,179583,2752.57,547,8.38,91,2627,40.27,13,0.2,3
Latvia,Europe,178298,9346.35,11745,615.67,2408,2857,149.76,74,3.88,21
Albania,Europe,176172,6121.76,2982,103.62,508,2788,96.88,54,1.88,5
Estonia,Europe,168884,12707.83,7103,534.47,1056,1409,106.02,22,1.66,5
Kosovo[1],Europe,160421,8933.79,185,10.3,49,2963,165.01,8,0.45,1
Afghanistan,Eastern Mediterranean,155627,399.78,245,0.63,28,7234,18.58,14,0.04,4
Mozambique,Africa,151046,483.26,172,0.55,28,1924,6.16,5,0.02,0
Finland,Europe,149174,2699.84,3349,60.61,279,1112,20.13,1,0.02,0
Montenegro,Europe,136302,21702,2548,405.69,334,2000,318.44,46,7.32,8
Singapore,Western Pacific,135395,2314.31,22014,376.29,3190,192,3.28,59,1.01,9
Zimbabwe,Africa,132108,888.84,674,4.53,92,4648,31.27,18,0.12,3
Australia,Western Pacific,131380,515.22,13610,53.37,0,1461,5.73,88,0.35,0
Ghana,Africa,128368,413.12,209,0.67,0,1158,3.73,1,0,0
Namibia,Africa,128129,5042.65,173,6.81,59,3527,138.81,7,0.28,3
China,Western Pacific,125143,8.51,223,0.02,28,5695,0.39,2,0,0
Uganda,Africa,124924,273.11,670,1.46,60,3179,6.95,9,0.02,0
Cyprus,Europe,121842,13720.87,981,110.47,142,559,62.95,2,0.23,0
Cambodia,Western Pacific,115607,691.47,1683,10.07,272,2559,15.31,128,0.77,15
El Salvador,Americas,107664,1659.89,329,5.07,0,3420,52.73,93,1.43,15
Rwanda,Africa,98924,763.76,715,5.52,86,1312,10.13,16,0.12,2
Cameroon,Africa,98402,370.69,3003,11.31,0,1550,5.84,33,0.12,0
Jamaica,Americas,86507,2921.38,1246,42.08,51,2053,69.33,110,3.71,19
Maldives,South-East Asia,85838,15879.93,490,90.65,0,237,43.84,5,0.92,0
Luxembourg,Europe,79463,12691.58,682,108.93,163,838,133.84,2,0.32,1
Senegal,Africa,73848,441.04,32,0.19,6,1869,11.16,7,0.04,1
Angola,Africa,62143,189.08,1695,5.16,349,1650,5.02,52,0.16,8
