Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
United States of America,"45,135,620",,"732,477",,"34,577,516",,"9,825,627","17,497","135,354","2,197","656,553,737","1,968,891","333,463,677"
India,"33,935,309",974,"450,408",,"33,248,291","7,588","236,610","8,944","24,288",322,"580,043,190","415,147","1,397,198,247"
Brazil,"21,550,730",,"600,493",,"20,665,273",,"284,964","8,318","100,481","2,800","63,776,166","297,360","214,474,907"
UK,"8,081,300",,"137,541",,"6,593,525",,"1,350,234",808,"118,255","2,013","311,519,071","4,558,491","68,338,194"
Russia,"7,746,718","29,362","215,453",968,"6,840,845","21,049","690,420","2,300","53,055","1,476","196,200,000","1,343,708","146,013,851"
Turkey,"7,387,537",,"65,778",,"6,843,487",,"478,272",633,"86,415",769,"89,154,839","1,042,881","85,489,002"
France,"7,047,786",,"117,029",,"6,832,490",,"98,267","1,200","107,671","1,788","146,046,715","2,231,195","65,456,721"
Iran,"5,691,634","7,654","122,370",173,"5,201,515","15,419","367,749","5,368","66,682","1,434","32,619,228","382,161","85,354,772"
Argentina,"5,265,058",,"115,444",,"5,130,084",,"19,530",981,"115,155","2,525","24,252,818","530,448","45,721,392"
Spain,"4,973,619",,"86,778",,"4,800,693",,"86,148",550,"106,324","1,855","65,473,038","1,399,662","46,777,754"
Colombia,"4,969,131",,"126,552",,"4,812,120",,"30,459",342,"96,357","2,454","25,895,959","502,151","51,570,105"
Italy,"4,695,291",,"131,228",,"4,478,137",,"85,926",383,"77,802","2,174","94,716,158","1,569,473","60,349,011"
Germany,"4,316,499",,"94,988",,"4,082,100","7,800","139,411","1,336","51,311","1,129","73,348,901","871,917","84,123,726"
Indonesia,"4,227,038","1,167","142,612",52,"4,059,267","1,507","25,159",,"15,250",514,"41,404,757","149,374","277,188,605"
Mexico,"3,714,392","7,158","281,610",489,"3,070,469","6,747","362,313","4,798","28,430","2,155","10,869,447","83,196","130,649,261"
Poland,"2,920,874","2,012","75,864",29,"2,667,431",842,"177,579",214,"77,284","2,007","21,204,795","561,062","37,794,015"
South Africa,"2,910,681",,"88,236",,"2,789,432",,"33,013",546,"48,305","1,464","17,931,034","297,581","60,255,936"
Philippines,"2,654,450","11,010","39,505",273,"2,508,387","22,529","106,558","3,194","23,822",355,"21,657,259","194,360","111,428,458"
Ukraine,"2,529,913","15,908","58,331",250,"2,287,846","5,364","183,736",177,"58,293","1,344","13,217,913","304,559","43,400,225"
Malaysia,"2,323,478",,"27,191",,"2,170,289",,"125,998",792,"70,641",827,"31,182,322","948,042","32,891,292"
Peru,"2,183,025",,"199,615",,N/A,N/A,N/A,934,"65,061","5,949","18,218,057","542,954","33,553,566"
Iraq,"2,022,109","1,227","22,537",28,"1,941,835","3,313","57,737",360,"48,886",545,"15,395,889","372,204","41,364,069"
Netherlands,"2,018,932",,"18,202",,"1,943,383",,"57,347",136,"117,496","1,059","17,496,108","1,018,224","17,182,963"
Japan,"1,709,609",827,"17,902",46,"1,678,327","1,840","13,380",501,"13,570",142,"25,322,667","200,997","125,985,087"
Thailand,"1,700,067","10,630","17,607",73,"1,572,332","10,542","110,128","3,324","24,279",251,"9,201,621","131,410","70,022,136"
Czechia,"1,699,074","1,017","30,499",2,"1,658,115",28,"10,460",67,"158,286","2,841","38,786,725","3,613,384","10,734,183"
Chile,"1,660,372",,"37,542",,"1,614,917",,"7,913",377,"85,922","1,943","22,263,247","1,152,092","19,324,185"
Canada,"1,655,380",,"28,186",,"1,585,978",,"41,216",776,"43,378",739,"44,186,056","1,157,868","38,161,575"
Bangladesh,"1,561,878",415,"27,674",20,"1,523,134",543,"11,070","1,428","9,366",166,"9,931,841","59,555","166,768,630"
Romania,"1,346,240","14,019","39,209",279,"1,172,139","7,592","134,892","1,593","70,577","2,056","13,428,429","703,989","19,074,772"
Israel,"1,302,777",,"7,885",,"1,264,085",,"30,807",436,"139,693",845,"27,152,490","2,911,483","9,326,000"
Belgium,"1,261,102","2,414","25,675",10,"1,175,391","4,384","60,036",195,"108,216","2,203","20,397,783","1,750,344","11,653,587"
Pakistan,"1,257,188",955,"28,087",29,"1,185,749","1,222","43,352","2,644","5,555",124,"19,827,048","87,606","226,319,842"
Sweden,"1,157,822",,"14,864",,"1,121,661",,"21,297",29,"113,745","1,460","12,743,845","1,251,961","10,179,107"
Portugal,"1,074,109",,"18,027",,"1,026,028",,"30,054",52,"105,730","1,774","18,919,326","1,862,326","10,158,977"
Serbia,"994,708",,"8,631",,"857,104",,"128,973",279,"114,430",993,"5,819,214","669,437","8,692,702"
Morocco,"938,286",,"14,427",,"916,324",,"7,535",347,"25,044",385,"9,804,658","261,703","37,464,824"
Cuba,"911,337",,"7,777",,"884,010",,"19,550",320,"80,522",687,"9,886,114","873,498","11,317,844"
Kazakhstan,"902,061","1,940","11,489",30,"843,654","2,399","46,918",221,"47,324",603,"11,575,012","607,254","19,061,244"
Switzerland,"848,416",,"11,133",,"790,942",,"46,341",152,"97,130","1,275","11,112,913","1,272,249","8,734,857"
Vietnam,"836,134","4,513","20,442",105,"760,801","1,319","54,891",,"8,493",208,"42,517,091","431,871","98,448,596"
Jordan,"831,832",,"10,789",,"807,569",,"13,474",436,"80,514","1,044","10,294,317","996,401","10,331,495"
Hungary,"827,410",,"30,275",,"788,014",,"9,121",100,"85,927","3,144","7,032,329","730,311","9,629,222"
Nepal,"801,633",636,"11,221",11,"775,072",899,"15,340",,"26,900",377,"4,279,701","143,614","29,800,105"
Austria,"759,543","1,868","11,090",6,"728,187","2,245","20,266",219,"83,728","1,223","90,079,511","9,929,885","9,071,556"
UAE,"737,655",146,"2,113",2,"730,922",188,"4,620",,"73,459",210,"86,668,966","8,630,829","10,041,789"
Tunisia,"709,456",,"24,996",,"681,539",,"2,921",205,"59,243","2,087","2,985,601","249,313","11,975,324"
Greece,"673,317",,"15,069",,"629,857",,"28,391",334,"65,002","1,455","21,676,735","2,092,666","10,358,430"
Georgia,"631,563","2,844","9,221",29,"598,468",814,"23,874",,"158,706","2,317","9,248,902","2,324,166","3,979,450"
